Continent,2023 Nominal GDP (USD Million),2022 Nominal GDP (USD Million),2021 Nominal GDP (USD Million),2023 GDP per Capita (USD),2022 GDP per Capita (USD),2021 GDP per Capita (USD),Percentage growth from 2021 - 2023,Per Capita Percentage growth from 2021 - 2023
Africa,2860986,2938010,2718004,2893.5576923076924,2702.9423076923076,2514.4615384615386,9.437843324607135,7.9924137953304415
Americas,35606173,33388260,30354036,15859.529411764706,15002.558823529413,13264.117647058823,19.03625993370876,16.98457414015258
Asia,37587179,36966991,36481384,19182.80487804878,18622.731707317074,16865.243902439026,12.706200047710285,11.419416466759474
Europe,25416936,23725929,23799263,38762.78048780488,35843.87804878049,35693.68292682927,9.860692181139845,10.54319216184611
Oceania,1979320,1962782,2020447,13381.416666666666,13182.25,13463.916666666666,7.594489340375719,5.77806490989629
